COD_ID_PRODUTO,DES_PRODUTO,total_desconto
105761,LIMPADOR GUIMARAES 2L PERF LAR ROMAN,4346.51
98832,LING LAR 700G CHURRASCO CONG,4341.16
82942,BATATA ONDULADA DEUTSCHIPS CEBOLA SALSA 225G,4315.40
104465,BEBIDA ENERGETICA BALY DAS GALAXIAS DE MORANGO E PESSEGO 473ML,4281.88
96350,SNACK PRINGLES CHURRASCO 120G,4266.00
91824,CARNE BOV BEST KG GRANITO RESF,4262.78
3792,SABONETE DOVE 90G BRANCO,4259.16
102194,KIT CERV BUDWEISER 330ML C/2 + COPO 350ML,4248.00
104557,CARNE BOVINA COSTELA RIPADA COM OSSO CONGELADA BEST BEEF KG,4224.39
94059,TOALHA UMED SNOW BABY HORA DE DORMIR C/90,4206.91
36922,MISTURA PARA BOLO APTI CHOCOLATE 400G,4190.01
102881,SABAO YPE 180G C/5 GLICERINADO NEUTRO ORIG,4189.69
103139,"AMACIANTE DOWNY CONCENTRADO BRISA INTENSO 1,5 LITROS",4164.14
82934,BATATA ONDULADA DEUTSCHIPS TRADICIONAL 225G,4151.64
66348,PAO ALHO ZINHO 300G RESF BOLINHA TRADICIONAL,4137.80
100206,DESINFETANTE AQUAFAST HARMONIA NATURAL 2L,4127.87
101777,RACAO MONELLO 7KG CAO ADULTO RACA PEQ FGO,4120.00
89020,PAPEL HIG QUALITE 30M C/12 CAMPIONE F DUPLA L12 P11,4107.86
95785,AMACIANTE COMFORT EXPLOSAO AZUL 3L,4099.19
98068,PAO MEL BAUDUCCO 30G,4076.45
68096,P?O DE FORMA TRADICIONAL PULLMAN 480G,4073.54
11973,CAFE BOM JESUS 500G VACUO EXTRA FORTE,4052.06
6572,COPO AMERICANO NADIR 190 ML 2010,4043.85
60937,PAO DE SANDUICHE FATIADO LAGO PAO 400G,4029.49
9486,EMPANADO LEBON SCOOBY-DOO! CROCANTE 300G,4017.22
94060,TOALHA UMED SNOW BABY RECEM NASCIDO C/90,4003.72
105287,CREME DENTAL ICE FRESH PARA DENTES + BRANCOS TRIPLA PROTEC?O REFRESCANTE 70G,3976.96
8041,MASSA ITALIANY PASTEL 500G DL,3963.47
104324,PAPEL HIGIENICO TOP ONE NEUTRO FOLHA DUPLA PACOTE SUPERECONOMICO COM 12 ROLOS DE 20M CADA,3961.75
86252,PURIFIC BOM AR 360ML AERO EMB ECON LAVANDA,3911.76
3152,FILTRADO GOTAS DOR 660ML BCO,3904.40
77951,"BEBIDA FRUKI 1,5L GUARANA PET ZERO",3902.08
1205,AVE CHESTER KG TEMPERADO PERDIGAO,3867.82
35609,SABONETE REXONA 84G BARRA ACTIVE,3867.67
62878,REFRESCO APTI 25G PO UVA,3851.25
59207,BEBIDA ENERGETICA RED BULL 250ML TROPICAL,3825.84
105940,CAIXA NATAL CARRINHO PAPAI NOEL,3812.34
94096,BEBIDA ENERGETICA BALY 2L FRUTAS TROPICAIS,3810.09
91531,CARNE BOV BEST KG COST JANEL C/O CONG,3773.23
42140,AGUA SANITARIA QBOA 5L,3764.46
91289,LAVA ROUPA AQUAFAST 3L TERNURA,3764.42
9239,LEITE FERM CHAMYTO 450G TRAD,3724.25
99969,BEBIDA ENERGETICA BALY MAC? VERDE 473ML,3721.10
103587,LAVA ROUPA PAMPA CHEMICAL 5L REMOV MANCH EMB ECON,3696.86
1043,,3688.85
88303,CHOC NEUGEBAUER 90G 40% CACAU M AMA,3676.04
104330,IOGURTE NESTLE 510G MOR,3616.11
86253,PURIFIC BOM AR 360ML AERO EMB ECON CHEIRO TALCO,3592.24
3381,WHISKY BUCHANNAS 1L,3583.97
72181,"CHOC NESTLE 41,5G KIT KAT LEITE",3570.06
36305,LIMPADOR VEJA PERF NATUREZA LAVANDA 30% DESC 2L,3554.72
8773,,3553.45
105622,BEBIDA ENERGETICA BALY 473ML. CITRUS,3538.10
97105,MASSA DITALIANE 500G PASTEL LANCHE DL,3534.07
35615,SABONETE REXONA 84G BARRA ANTIBAC FRESH,3531.15
11220,RACAO WHISKAS 85G GATO FAV CARNE T,3525.56
92710,AMENDOIM DA COLONIA 50G SALGADO,3522.93
91646,SABONETE REXONA 84G BARRA ANTIB LIMP PROF,3516.81
92172,SNACK PRINGLES QUEIJO 120G,3515.79
11955,ESPUMANTE CASA PERINI 750ML MOSC,3511.55
88302,CHOCOLATE NEUGEBAUER AO LEITE 90G,3502.15
54839,CERV BUDWEISER 473ML LT,3500.29
92714,TORRONE MONTEVERGINE 17G AMENDOIM,3481.01
61074,FARINHA TRIGO GARDENIA 5KG,3477.45
105012,AMACIANTE GUIMARAES 2L PREM ENCANTO,3467.84
113,,3460.63
88429,PRODUTO FALTANTE #88429,3455.74
100267,EXTRATO DE TOMATE ELEFANTE 310G,3447.41
99520,"GORDURA VEGETAL COAMO ZERO TRANS 14,5KG FRY400",3447.30
76046,DESODOR REXONA 120G AERO *COTTON,3428.46
105760,LIMPADOR GUIMARAES 2L PERF LAR BUQ LAVAND,3419.50
40240,BACON STA CLARA KG MINI,3419.25
91360,LAVA ROUPAS UAU ACTIVE 3L,3410.24
43880,LINGUICA DE FRANGO LAR CONGELADA 1KG,3371.62
10283,OLEO IPIRANGA F1 1L MAST 15W 40S SL,3370.79
103064,RAC?O ONIX PREMIUM DE CARNE COM 20% DE PROTEINA PARA C?ES ADULTOS 25KG,3370.45
62879,REFRESCO APTI 25G PO MORANGO,3361.14
28685,PAO ALHO SANTA MASSA 400G TRADICIONAL,3358.95
94832,BEBIDA DE COCO IZZY 1 LITRO,3338.55
91837,CARNE BOV BEST KG FRALD VAZIO RESF,3334.83
35412,ERVA MATE CAMBONA 1KG TRADICIONAL,3332.73
83107,QUEIJO FRIOLACK MUSSARELA FATIADO 150G,3322.94
96206,"DUETO BONARE 1,7KG",3320.40
103504,"ACAI ORIGEM COM GUARANA CONGELADO 3,4KG",3311.65
5644,ARROZ BLUE VILLE 5KG PARBO T1,3296.72
94058,TOALHA UMED SNOW BABY HIDRAT INTENSA C/90,3292.66
101194,PIZZA LEBON CALABRESA CONGELADA 400G,3286.86
66197,"EXTRATO TOMATE ELEFANTE 1,1KG",3283.71
112,CEBOLA NACIONAL KG,3248.31
53022,CERV ORIGINAL 300ML ONE WAY,3246.60
80250,SABONETE PROTEX LIMPEZA PROFUNDA LV8 PG6,3218.55
105011,AMACIANTE GUIMARAES 2L PREM SEDUCAO,3205.12
91171,BEBIDA LACTEA ELEGE 200ML CHOCO BOB ESPONJA,3180.26
98848,BEBIDA ENERGETICA BALY COCO ACAI 2L,3179.30
6330,MACARRAO MIOJO NISSIN 85GR LAMEN GALINHA CAIPIRA,3167.82
104981,BISC RECH BAUDUCCO 108G BAUN/CHO,3161.59
101673,GARRAFA TERM MOR 1L USE FARROUPILHA PRETA,3157.77
95858,VINHO ARGENTINO CORDERO CON PIEL DE LOBO MALBEC 750ML,3143.18
92182,SALSICHA SEARA 500G HOT DOG,3123.23
89609,VINHO HEREFORD 750ML CABERNET SAUV TTO,3094.14
88301,CHOCOLATE NEUGEBAUER AMENDOIM 90G,3077.87
95750,AMACIANTE GIRANDO SOL 1L HIPOALERGENICO,3074.89
1727,FARINHA MILHO BEATRIZ 1KG,3065.62
390,MELAO ESPANHOL KG,3042.46
11756,AGUA MIN PEDRA 500ML S/GAS,3002.40
88737,MASSA CASEIRA GIRASSOL 400G,2996.14
103311,P?O DE QUEIJO MARICOTA COQUETEL PREMIUM CONGELADO EMBALAGEM ECONOMICA 1KG,2982.91
93329,CERV CORONA 330ML L NECK EXTRA ONE WAY,2977.17
95625,RACAO BIRBO 15KG CAES TRADIC FRANGO,2966.80
99198,AGUA SANITARIA MAPLE 5L,2954.28
