COD_ID_PRODUTO,DES_PRODUTO,total_vendido
105444,GELATINA APTI DE TUTTI-FRUTTI 20G,31426.00
80816,BATATA PALHA DEUTSCHIPS 80G TRADICIONAL,31323.00
62303,PRESUNTO PERDIGAO 200G ATM FAT,31226.00
35458,QUEIJO FRIOLACK KG MUSSAR PECA,31175.48
1030,CORACAO FGO SEARA 1KG CONG,31010.00
103351,SALGADINHO ELMA CHIPS DORITOS COM QUEIJO NACHO 210G,30909.00
100019,DETERG LOUCA BRILHA SUL 500ML LIMAO,30874.00
49909,PAPEL HIG MILI 60M C/12 NEUTRO,30680.00
103685,PAPEL HIGIENICO MILI BIANCO NEUTRO DE FOLHA DUPLA 30 METROS LEVE 12 PAGUE 11,30665.00
96218,SALG ELMA CHIPS 45G FANDANGOS PRES,30519.00
75378,PANETTONE FESTTONE 400G FRUT,30191.00
104411,AMENDOIM BRANCO FRITZ E FRIDA PREMIUM 400G,30097.00
96205,DUETO BONARE 170G LT,30087.00
11492,OLEO DE SOJA SOYA PET 900ML,30045.00
30705,LEITE TIROL INTEGRAL 1L,30044.00
11670,"*REFRIG PEPSI 2,5L PET",29858.00
90049,BEBIDA LACTEA NESTLE .200ML NESCAU,29664.00
89253,SABONETE SENSUS SUAVE FLOR E FRUTAS VERMELHAS 150G,29577.00
28685,PAO ALHO SANTA MASSA 400G TRADICIONAL,29531.00
3229,ESPUMANTE AURORA 750ML MOSCATEL ROS,29476.00
21447,HAMBURGUER MISTO SEARA 112G C/2 TEXAS BURGER,29348.00
93694,SABONETE FARNESE 180G FRUTAS VERMELHA,29253.00
1773,FARINHA TRIGO NORDESTE 5KG,29158.00
224,MACA GALA KG,29046.47
105207,SABONETE HIDRATANTE NIPS DE MEL E CEREAIS 85G,28981.00
3358,ICE SMIRNOFF 275ML RED,28937.00
87440,REFRIG SPRITE 200ML LIMAO,28778.00
105993,"REFRESCO FRUKITO 1,5L S/ACUC FRUT CITRICA",28425.00
402,MORANGA CABOTIA KG,28339.64
91202,BISC RECH TRAKINAS 126G MAIS MORANGO,28173.00
72951,TEMPERA FACIL KI SABOR 60G P/CARNE LEGUMES,28160.00
103991,"LAVA-ROUPAS BRILHANTE LIMPEZA TOTAL PARA ROUPAS BRANCAS E COLORIDAS PROMOC?O COMPROU, BRILHOU, GANHOU 800G",28047.00
1554,ACUCAR CRISTAL GASPARIN 2KG,27908.00
87965,ALCOOL SUPER VALE 46? 1L,27841.00
68134,MAIONESE HEMMER 930G,27822.00
10002,CHICLE ADAMS TRIDENT UN MENTA,27677.00
104583,PAO MARQUESPAN KG FRANCES,27568.71
104838,BATATA PALHA BOA 80G,27500.00
8597,MASSA ISABELA ESPAGUETE 500G,27314.00
64439,LEITE ITALAC UHT 1L COM TAMPA SEMIDESNATADO,27105.00
60357,ESPONJA BRILHUS UN,27105.00
68173,"SALSICHA HOT DOG PERDIGAO SEM CORANTE 2,8KG",27079.00
96752,BOLINHO ANA MARIA 42G COB CHOC,27038.00
95083,PERNIL SUINO CASTRO COM PELE OSSO KG,26987.42
16034,REFRIG GUARANA ANTARC 350ML LT TRAD,26984.00
60677,SABONETE PALMOLIVE NATURALS 150G OLEO NUTRITIVO,26906.00
27233,MORANGO 250G BDJ,26888.00
27848,CERV ORIGINAL 600ML RETORN,26881.00
100006,PEPINO DA SERRA EM CONSERVA 150G,26867.00
